Symbol,Action,Gain,StopLoss,Date,Time,Fornitore
EUR/JPY,buy,75,won,2024-12-13,15:51:02,LunarEclipse-LKS
EUR/USD,sell,15,won,2024-12-12,16:32:18,LunarEclipse-LKS
GBP/CAD,buy,15,won,2024-12-11,14:43:50,LunarEclipse-LKS
EUR/CAD,buy,45,won,2024-12-11,11:42:23,LunarEclipse-LKS
EUR/USD,buy,75,won,2025-01-14,08:16:42,LunarEclipse-LKS
EUR/JPY,buy,-30,stop-loss,2025-01-14,00:12:00,LunarEclipse-LKS
GBP/CAD,buy,60,won,2025-01-13,17:35:07,LunarEclipse-LKS
EUR/CAD,buy,45,won,2025-01-13,17:30:03,LunarEclipse-LKS
EUR/CAD,sell,75,won,2025-01-10,17:27:38,LunarEclipse-LKS
EUR/USD,sell,75,won,2025-01-09,16:50:38,LunarEclipse-LKS
GBP/CAD,sell,-30,stop-loss,2025-01-09,16:48:05,LunarEclipse-LKS
GBP/CAD,sell,-30,stop-loss,2025-01-08,16:34:41,LunarEclipse-LKS
EUR/CAD,sell,15,won,2025-01-08,15:27:55,LunarEclipse-LKS
GBP/CAD,sell,75,won,2025-01-08,08:14:06,LunarEclipse-LKS
EUR/USD,sell,75,won,2025-01-07,16:13:27,LunarEclipse-LKS
EUR/USD,sell,75,won,2025-01-07,14:44:04,LunarEclipse-LKS
GBP/CAD,sell,15,won,2025-01-07,13:18:50,LunarEclipse-LKS
EUR/CAD,buy,-30,stop-loss,2025-01-06,12:41:32,LunarEclipse-LKS
EUR/USD,buy,30,won,2025-01-06,12:20:53,LunarEclipse-LKS
GBP/CAD,buy,15,won,2025-01-06,12:19:56,LunarEclipse-LKS
GBP/USD,sell,-15,stop-loss,2025-02-13,07:29:40,LunarEclipse-LKS
EUR/USD,sell,60,won,2025-02-13,07:27:57,LunarEclipse-LKS
GBP/JPY,buy,-15,stop-loss,2025-02-12,09:16:48,LunarEclipse-LKS
GBP/USD,buy,-15,stop-loss,2025-02-12,09:02:59,LunarEclipse-LKS
GBP/CAD,buy,45,won,2025-02-11,17:28:46,LunarEclipse-LKS
EUR/USD,buy,75,won,2025-02-11,13:14:11,LunarEclipse-LKS
GBP/USD,buy,75,won,2025-02-11,12:43:04,LunarEclipse-LKS
EUR/CAD,buy,-15,stop-loss,2025-02-10,14:36:27,LunarEclipse-LKS
GBP/CAD,buy,-15,stop-loss,2025-02-10,13:07:20,LunarEclipse-LKS
EUR/USD,buy,-15,stop-loss,2025-02-10,13:04:49,LunarEclipse-LKS
EUR/JPY,buy,-15,stop-loss,2025-02-05,09:15:45,LunarEclipse-LKS
EUR/CAD,buy,-15,stop-loss,2025-02-05,08:48:18,LunarEclipse-LKS
EUR/USD,buy,-15,stop-loss,2025-02-05,08:39:08,LunarEclipse-LKS
USD/CAD,sell,-15,stop-loss,2025-02-04,09:02:27,LunarEclipse-LKS
GBP/USD,buy,75,won,2025-02-04,08:10:01,LunarEclipse-LKS
EUR/USD,buy,75,won,2025-02-04,08:04:33,LunarEclipse-LKS
EUR/CHF,sell,15,won,2025-02-03,09:27:12,LunarEclipse-LKS
GBP/CAD,sell,-15,stop-loss,2025-02-03,08:55:30,LunarEclipse-LKS
EUR/USD,sell,15,won,2025-02-03,08:52:57,LunarEclipse-LKS
EUR/CAD,buy,75,won,2025-01-14,09:22:38,LunarEclipse-LKS
EUR/USD,buy,30,won,2024-12-11,09:27:22,LunarEclipse-LKS
GBP/CAD,buy,-30,stop-loss,2024-12-11,09:24:47,LunarEclipse-LKS
GBP/CAD,sell,30,won,2024-12-10,11:50:35,LunarEclipse-LKS
GBP/USD,sell,15,won,2024-12-10,10:01:13,LunarEclipse-LKS
GBP/USD,sell,75,won,2024-12-09,20:52:07,LunarEclipse-LKS
EUR/USD,sell,45,won,2024-12-09,11:45:01,LunarEclipse-LKS
EUR/JPY,sell,-30,stop-loss,2024-12-09,09:37:20,LunarEclipse-LKS
GBP/CAD,sell,60,won,2024-12-09,09:23:27,LunarEclipse-LKS
EUR/USD,buy,30,won,2024-12-11,09:27:22,LunarEclipse-LKS
GBP/CAD,buy,-30,stop-loss,2024-12-11,09:24:47,LunarEclipse-LKS
GBP/CAD,sell,30,won,2024-12-10,11:50:35,LunarEclipse-LKS
GBP/USD,sell,15,won,2024-12-10,10:01:13,LunarEclipse-LKS
GBP/USD,sell,75,won,2024-12-09,20:52:07,LunarEclipse-LKS
EUR/USD,sell,45,won,2024-12-09,11:45:01,LunarEclipse-LKS
EUR/JPY,sell,-30,stop-loss,2024-12-09,09:37:20,LunarEclipse-LKS
GBP/CAD,sell,60,won,2024-12-09,09:23:27,LunarEclipse-LKS
